day_week,number_pair,pair_type,id_class,id_type_class,id_audience,id_teacher,id_group
1,1,1,12,2,5,7,9
1,1,2,10,2,5,5,7
1,1,2,10,2,5,5,8
1,1,2,121,1,2,27,32
1,1,2,121,1,2,27,33
1,1,2,121,1,2,27,34
1,1,2,15,2,5,3,12
1,1,2,157,1,8,23,35
1,1,2,99,2,5,17,30
1,2,2,141,1,2,27,35
1,2,2,141,1,2,27,36
1,2,2,141,1,2,27,37
1,2,2,141,1,2,27,38
1,2,2,181,2,5,21,30
1,2,2,181,2,5,21,31
1,2,2,81,2,7,10,24
1,3,1,10,2,5,5,7
1,3,1,10,2,5,5,8
1,3,1,136,2,5,5,33
1,3,1,136,2,5,5,34
1,3,1,20,2,6,11,11
1,3,1,21,2,6,11,12
1,3,1,42,2,6,11,20
1,3,1,42,2,6,11,21
1,3,2,137,1,4,15,35
1,3,2,137,1,4,15,36
1,3,2,137,1,4,15,37
1,3,2,137,1,4,15,38
1,3,2,34,1,7,13,15
1,3,2,92,2,3,26,30
1,3,2,92,2,3,26,31
1,4,1,145,1,1,22,35
1,4,1,182,2,2,11,32
1,4,1,76,2,5,24,25
1,4,1,76,2,5,24,26
1,4,1,8,1,2,4,6
1,4,1,8,1,2,4,7
1,4,1,8,1,2,4,8
1,4,2,108,2,5,21,28
1,4,2,108,2,5,21,29
1,4,2,149,1,2,1,35
1,4,2,149,1,2,1,36
1,4,3,70,2,7,10,22
1,4,3,70,2,7,10,23
1,5,1,107,2,5,21,27
1,5,1,116,2,3,20,30
1,5,1,116,2,3,20,31
1,5,1,126,2,3,12,28
1,5,1,126,2,3,12,29
1,5,1,28,2,7,5,2
1,5,1,28,2,7,5,4
1,5,1,28,2,7,5,10
1,5,1,28,2,7,5,13
1,5,1,37,1,2,6,8
1,5,1,37,1,2,6,15
1,5,1,37,1,2,6,17
1,5,1,37,1,2,6,18
1,5,1,45,2,5,14,19
1,5,1,60,1,1,15,24
1,5,1,60,1,1,15,25
1,5,1,60,1,1,15,26
1,5,2,108,2,5,21,28
1,5,2,108,2,5,21,29
1,5,2,19,2,6,10,10
1,5,2,43,2,6,11,22
1,5,2,43,2,6,11,23
1,5,2,5,2,3,3,1
1,5,2,5,2,3,3,2
1,5,2,65,2,7,21,20
1,5,2,65,2,7,21,21
1,6,1,109,2,5,21,30
1,6,1,109,2,5,21,31
1,6,1,4,2,3,2,5
1,6,1,5,2,3,3,1
1,6,1,5,2,3,3,2
1,6,1,74,1,2,24,24
1,6,1,74,1,2,24,25
1,6,1,74,1,2,24,26
1,6,2,23,1,2,12,2
1,6,2,23,1,2,12,4
1,6,2,23,1,2,12,9
1,6,2,23,1,2,12,10
1,6,2,23,1,2,12,11
1,6,2,23,1,2,12,13
1,6,2,51,2,6,17,22
1,6,2,51,2,6,17,23
1,6,2,68,2,7,10,19
1,6,2,85,2,6,11,25
1,6,2,85,2,6,11,26
1,6,2,90,2,6,11,27
2,1,2,106,1,2,22,27
2,1,2,106,1,2,22,28
2,1,2,106,1,2,22,29
2,1,2,106,1,2,22,30
2,1,2,106,1,2,22,31
2,1,2,146,2,3,22,35
2,1,2,165,2,8,23,37
2,1,2,172,1,9,18,39
2,1,2,69,2,7,5,20
2,1,2,69,2,7,5,21
2,2,1,106,1,2,22,27
2,2,1,106,1,2,22,28
2,2,1,106,1,2,22,29
2,2,1,106,1,2,22,30
2,2,1,106,1,2,22,31
2,2,1,151,2,3,1,36
2,2,1,34,1,7,13,15
2,2,1,47,2,5,2,22
2,2,1,47,2,5,2,23
2,2,1,50,2,6,17,20
2,2,1,50,2,6,17,21
2,2,2,1,1,1,1,1
2,2,2,1,1,1,1,2
2,2,2,1,1,1,1,3
2,2,2,1,1,1,1,4
2,2,2,1,1,1,1,5
2,2,2,156,2,3,4,37
2,2,2,156,2,3,4,38
2,2,2,161,2,5,3,35
2,2,2,33,1,2,13,8
2,2,2,33,1,2,13,15
2,2,2,33,1,2,13,16
2,2,2,33,1,2,13,17
2,2,2,63,1,2,22,19
2,2,2,63,1,2,22,20
2,2,2,63,1,2,22,21
2,2,2,63,1,2,22,22
2,2,2,63,1,2,22,23
2,2,2,93,1,2,25,32
2,2,2,93,1,2,25,33
2,2,2,93,1,2,25,34
2,3,1,153,2,8,11,36
2,3,1,17,1,2,10,2
2,3,1,17,1,2,10,4
2,3,1,17,1,2,10,9
2,3,1,17,1,2,10,10
2,3,1,17,1,2,10,11
2,3,1,17,1,2,10,12
2,3,1,17,1,2,10,13
2,3,1,89,1,1,25,27
2,3,1,89,1,1,25,28
2,3,1,89,1,1,25,29
2,3,1,89,1,1,25,30
2,3,1,89,1,1,25,31
2,3,2,150,2,3,1,35
2,3,2,163,2,5,3,37
2,3,2,163,2,5,3,38
2,3,2,3,2,3,2,3
2,3,2,3,2,3,2,4
2,3,2,35,1,7,13,17
2,3,2,41,2,6,11,19
2,3,2,7,2,3,3,5
2,3,2,70,2,7,10,22
2,3,2,70,2,7,10,23
2,3,2,8,1,4,4,6
2,3,2,8,1,4,4,7
2,3,2,8,1,4,4,8
2,3,2,86,1,2,25,24
2,3,2,86,1,2,25,25
2,3,2,86,1,2,25,26
2,4,1,107,2,5,21,27
2,4,1,116,2,3,20,30
2,4,1,116,2,3,20,31
2,4,1,119,2,7,20,28
