day_week,number_pair,pair_type,id_class,id_type_class,id_audience,id_teacher,id_group
1,1,1,150,2,9,1,35
1,1,2,137,1,10,15,35
1,1,2,137,1,10,15,36
1,1,2,137,1,10,15,37
1,1,2,137,1,10,15,38
1,1,3,10,2,11,5,7
1,1,3,10,2,11,5,8
1,2,1,134,1,8,14,32
1,2,1,134,1,8,14,33
1,2,1,134,1,8,14,34
1,2,1,152,1,7,25,36
1,2,1,152,1,7,25,37
1,2,1,152,1,7,25,38
1,2,1,158,2,14,23,35
1,2,2,110,1,7,22,32
1,2,2,110,1,7,22,33
1,2,2,110,1,7,22,34
1,2,2,141,1,8,27,35
1,2,2,141,1,8,27,36
1,2,2,141,1,8,27,37
1,2,2,141,1,8,27,38
1,2,3,14,2,11,8,11
1,2,3,43,2,12,11,22
1,2,3,43,2,12,11,23
1,2,3,69,2,13,5,20
1,2,3,69,2,13,5,21
1,2,3,115,2,9,20,28
1,2,3,115,2,9,20,29
1,3,1,88,2,9,20,25
1,3,1,88,2,9,20,26
1,3,2,58,2,9,20,20
1,3,2,58,2,9,20,21
1,3,3,9,2,11,5,6
1,3,3,20,2,12,11,11
1,3,3,165,2,14,23,37
1,3,3,178,1,8,22,27
1,3,3,178,1,8,22,28
1,3,3,178,1,8,22,29
1,3,3,178,1,8,22,30
1,3,3,178,1,8,22,31
1,3,3,178,1,8,22,32
1,3,3,178,1,8,22,33
1,3,3,178,1,8,22,34
1,4,1,131,1,7,15,32
1,4,1,131,1,7,15,33
1,4,1,131,1,7,15,34
1,4,2,93,1,7,25,32
1,4,2,93,1,7,25,33
1,4,2,93,1,7,25,34
1,4,3,22,2,12,11,2
1,4,3,22,2,12,11,4
1,4,3,22,2,12,11,13
1,4,3,22,2,12,11,14
1,4,3,34,1,13,13,15
1,4,3,116,2,9,20,30
1,4,3,116,2,9,20,31
1,4,3,179,2,11,21,27
1,5,1,125,2,9,12,27
1,5,2,2,2,9,2,1
1,5,2,2,2,9,2,2
1,5,3,35,1,13,13,17
1,5,3,94,2,12,11,32
1,5,3,133,2,11,21,33
1,5,3,133,2,11,21,34
1,6,1,4,2,9,2,5
1,6,1,81,2,13,10,24
1,6,2,7,2,9,3,5
1,6,3,41,2,12,11,19
1,6,3,100,2,11,21,32
2,1,1,74,1,8,24,24
2,1,1,74,1,8,24,25
2,1,1,74,1,8,24,26
2,1,2,6,2,9,3,3
2,1,2,6,2,9,3,4
2,1,3,36,1,13,13,8
2,1,3,36,1,13,13,18
2,2,1,55,2,13,19,22
2,2,1,55,2,13,19,23
2,2,1,83,1,7,10,24
2,2,1,83,1,7,10,25
2,2,1,83,1,7,10,26
2,2,2,33,1,7,13,8
2,2,2,33,1,7,13,15
2,2,2,33,1,7,13,16
2,2,2,33,1,7,13,17
2,2,2,68,2,13,10,19
2,2,2,125,2,9,12,27
2,2,3,132,2,12,16,32
2,2,3,162,2,11,3,36
2,3,1,31,2,12,3,15
2,3,1,31,2,12,3,16
2,3,1,81,2,13,10,24
2,3,1,96,1,7,15,27
2,3,1,96,1,7,15,28
2,3,1,96,1,7,15,30
2,3,1,96,1,7,15,32
2,3,1,96,1,7,15,33
