day_week,number_pair,pair_type,id_class,id_type_class,id_audience,id_teacher,id_group
1,1,1,15,2,11,3,12
1,1,1,82,2,13,5,25
1,1,1,82,2,13,5,26
1,1,1,95,2,12,11,33
1,1,2,101,2,11,21,33
1,1,2,35,1,13,13,17
1,1,2,92,2,9,26,30
1,1,2,92,2,9,26,31
1,2,1,136,2,11,5,33
1,2,1,136,2,11,5,34
1,2,1,35,1,13,13,17
1,2,1,43,2,12,11,22
1,2,1,43,2,12,11,23
1,2,1,8,1,8,4,6
1,2,1,8,1,8,4,7
1,2,1,8,1,8,4,8
1,2,1,86,1,7,25,24
1,2,1,86,1,7,25,25
1,2,1,86,1,7,25,26
1,2,2,134,1,7,14,32
1,2,2,134,1,7,14,33
1,2,2,134,1,7,14,34
1,2,2,180,2,11,21,28
1,2,2,180,2,11,21,29
1,2,2,21,2,12,11,12
1,2,2,30,1,8,6,8
1,2,2,30,1,8,6,15
1,2,2,30,1,8,6,16
1,2,2,30,1,8,6,17
1,2,3,6,2,9,3,3
1,2,3,6,2,9,3,4
1,3,1,16,2,11,9,2
1,3,1,16,2,11,9,4
1,3,1,16,2,11,9,13
1,3,1,16,2,11,9,14
1,3,1,177,2,15,15,40
1,3,1,19,2,12,10,10
1,3,1,78,2,9,20,24
1,3,1,93,1,7,25,32
1,3,1,93,1,7,25,33
1,3,1,93,1,7,25,34
1,3,2,180,2,11,21,28
1,3,2,180,2,11,21,29
1,3,2,6,2,9,3,3
1,3,2,6,2,9,3,4
1,3,2,68,2,13,10,19
1,3,2,85,2,12,11,25
1,3,2,85,2,12,11,26
1,4,1,115,2,9,20,28
1,4,1,115,2,9,20,29
1,4,1,142,2,14,27,35
1,4,1,179,2,11,21,27
1,4,1,18,2,12,10,9
1,4,2,161,2,11,3,35
1,4,2,2,2,9,2,1
1,4,2,2,2,9,2,2
1,4,2,62,2,12,21,25
1,4,2,62,2,12,21,26
1,5,1,103,2,13,20,31
1,5,1,107,2,11,21,27
1,5,1,160,1,10,27,35
1,5,1,160,1,10,27,36
1,5,1,160,1,10,27,37
1,5,1,160,1,10,27,38
1,5,1,91,2,9,26,28
1,5,1,91,2,9,26,29
1,5,2,118,2,13,20,27
1,5,2,14,2,11,8,11
1,5,2,5,2,9,3,1
1,5,2,5,2,9,3,2
1,5,2,73,2,14,12,25
1,5,2,73,2,14,12,26
1,6,1,114,2,9,20,27
1,6,1,64,2,13,21,19
1,6,2,118,2,13,20,27
1,6,2,13,2,11,7,10
1,6,2,151,2,9,1,36
1,6,2,26,2,12,5,11
2,1,1,179,2,11,21,27
2,1,1,18,2,12,10,9
